"","phrase","coefficient"
"115","middl eastiraq",-0.2852
"116","narrow conserv",-0.2846
"117","2007 deadlin",-0.2843
"118","enriqu pea",-0.283
"119","decis balanc",-0.2809
"120","access renew",-0.2805
"121","student sometim",-0.2798
"122","columnist teacher",-0.2786
"123","now amount",-0.2778
"124","gandhi senior",-0.2765
"125","resolv ineffici",-0.2747
"126","drop 503",-0.2726
"127","pool mortgageback",-0.2719
"128","stop epa",-0.2719
"129","visit http",-0.2713
"130","centerauthor note",-0.2712
"131","disast health",-0.2697
"132","communiti earn",-0.2691
"133","bridg question",-0.2678
"134","bolster long",-0.266
"135","find nearbi",-0.2649
"136","agrast senior",-0.2643
"137","michael hoffman",-0.2642
"138","2009 child",-0.2637
"139","term gay",-0.2628
"140","explor strategi",-0.2618
"141","divers america",-0.2614
"142","nichola stern",-0.26
"143","jitind koh",-0.2577
"144","dreamer alreadi",-0.2531
"145","identifi part",-0.2523
"146","ensur legal",-0.252
"147","michigan alreadi",-0.252
"148","vulner unemploy",-0.2509
"149","reserv discount",-0.2508
"150","databas make",-0.2507
"151","16 islamist",-0.2501
"152","inventori unsold",-0.2484
"153","provoc incendiari",-0.248
"154","gchine uranium",-0.2479
"155","2005 program",-0.247
"156","corrih deputi",-0.2462
"157","design task",-0.2461
"158","worker budget",-0.2426
"159","borrow fha",-0.2425
"160","east progress",-0.2401
"161","drop 191",-0.2399
"162","emerg convers",-0.2394
"163","america project",-0.2387
"164","enough what",-0.2378
"165","fire mere",-0.2377
"166","stakehold see",-0.2376
"167","letter argu",-0.2374
"168","1996 instrument",-0.237
"169","negat 05",-0.2367
"170","shutdown drag",-0.2363
"171","13 ask",-0.2351
"172","line suffer",-0.2351
"173","sacr text",-0.2338
"174","2005 clever",-0.233
"175","threepart seri",-0.2327
"176","associ caribbean",-0.2315
"177","welcom need",-0.2292
"178","sheet dream",-0.2286
"179","enrolle earn",-0.2267
"180","compens purpos",-0.2253
"181","manag resolv",-0.2248
"182","borrow financi",-0.2242
"183","drill rule",-0.2241
"184","creat urgenc",-0.2236
"185","done low",-0.2162
"186","transit vice",-0.2162
"187","long bedrock",-0.2155
"188","abc week",-0.2153
"189","action reiter",-0.2152
"190","result aca",-0.215
"191","ayr research",-0.2146
"192","class help",-0.2144
"193","pass lawth",-0.2142
"194","household unabl",-0.2136
"195","kelley vice",-0.2135
"196","close 3000",-0.2134
"197","affirm roe",-0.2132
"198","establish architectur",-0.2131
"199","launch 2010",-0.2124
"200","1 conserv",-0.2123
"201","trump paid",-0.2111
"202","american progressread",-0.2105
"203","straight vote",-0.2101
"204","sinc clear",-0.2099
"205","agenc led",-0.2092
"206","pledg achiev",-0.2076
"207","push process",-0.2075
"208","min associ",-0.207
"209","offic speech",-0.2065
"210","access biofuel",-0.2063
"211","ton annual",-0.2055
"212","2019 column",-0.2043
"213","percent periodbut",-0.2029
"214","2002al qaeda",-0.2005
"215","2050 center",-0.2005
"216","tie record",-0.2004
"217","similar wast",-0.2
"218","elindsay americanprogressorg",-0.1982
"219","2006 without",-0.1964
"220","compar coal",-0.1943
"221","ethnic dispar",-0.1943
"222","team center",-0.1935
"223","region foreign",-0.1933
"224","16 monthsth",-0.1928
"225","economi vehicl",-0.1921
"226","describ iran",-0.1919
"227","financi stabilityal",-0.1917
"228","super fueleffici",-0.1909
"229","must meaning",-0.1905
"230","interact map",-0.1894
"231","coauthor next",-0.1889
"232","current reach",-0.1883
"233","assault russia",-0.1879
"234","decent work",-0.1877
"235","underinsur american",-0.1877
"236","weak incom",-0.1872
"237","regular access",-0.1871
"238","individu tactic",-0.187
"239","lesbian troop",-0.1857
"240","intern faith",-0.1856
"241","ken sofer",-0.1841
"242","feder inact",-0.1836
"243","hachigian senior",-0.1836
"244","madowitz economist",-0.1805
"245","pdf read",-0.1788
"246","point older",-0.1787
"247","10 becam",-0.1775
"248","quarter addit",-0.1773
"249","1950s less",-0.177
"250","stephani miller",-0.1768
"251","need holist",-0.1761
"252","cultur fear",-0.1755
"253","eia data",-0.1751
"254","likelihood student",-0.1735
"255","episcop bishop",-0.1732
"256","jurisdict despit",-0.1732
"257","dewan associ",-0.1731
"258","hous wealth",-0.1729
"259","open turkey",-0.1718
"260","oil part",-0.1713
"261","depend live",-0.1708
"262","see muslim",-0.1708
"263","largest propos",-0.169
"264","smart climat",-0.1681
"265","accentu strong",-0.1674
"266","bill compar",-0.1669
"267","greatest moral",-0.1666
"268","nation ideal",-0.1666
"269","well women",-0.1658
"270","util burn",-0.1657
"271","associ bachelor",-0.1643
"272","deal strateg",-0.1641
"273","encourag civic",-0.1641
"274","nonpartisan govern",-0.1635
"275","2007 didnt",-0.1633
"276","climat debt",-0.1632
"277","widespread job",-0.1626
"278","iraq leader",-0.1621
"279","credit stop",-0.1619
"280","american progressdownload",-0.1611
"281","worker won",-0.1601
"282","fbi requir",-0.1593
"283","histor gain",-0.1588
"284","pleas go",-0.1575
"285","want pregnanc",-0.1565
"286","lie north",-0.1559
"287","loophol big",-0.1555
"288","overal agenda",-0.1555
"289","fitz director",-0.1538
"290","correct juli",-0.1527
"291","enhanc electr",-0.1525
"292","clear poll",-0.152
"293","glynn senior",-0.1518
"294","equal member",-0.1497
"295","challeng anticompetit",-0.1482
"296","build energi",-0.1476
"297","potenti sexual",-0.1476
"298","pollut ignor",-0.1475
"299","delinqu foreclosur",-0.1471
"300","bush depart",-0.1467
"301","due flexibl",-0.1463
"302","costshar recommend",-0.1452
"303","break wealthiest",-0.1444
"304","arriv southern",-0.1431
"305","week bring",-0.1428
"306","match progress",-0.1421
"307","health inequ",-0.142
"308","absolut measur",-0.1402
"309","economist center",-0.14
"310","katherin down",-0.1399
"311","fund revers",-0.1394
"312","ettling vice",-0.1393
"313","sustain twostat",-0.1387
"314","justic uphold",-0.137
"315","fund instal",-0.1368
"316","particip union",-0.1357
"317","2010 major",-0.1344
"318","dirti oil",-0.134
"319","dispar health",-0.1339
"320","women nativ",-0.1338
"321","lowincom householdsth",-0.1325
"322","strengthen strategi",-0.1322
"323","eight quarter",-0.1319
"324","serv vulner",-0.1318
"325","biofuel market",-0.1313
"326","pollut everyon",-0.1303
"327","lawrenc korb",-0.1301
"328","ccs demonstr",-0.1297
"329","merger make",-0.1293
"330","throughout bibl",-0.1293
"331","2006 median",-0.1289
"332","interest loophol",-0.1274
"333","michael linden",-0.126
"334","resid infrastructur",-0.1256
"335","state tight",-0.1254
"336","safe abort",-0.125
"337","american decreas",-0.1241
"338","rampant foreclosur",-0.1236
"339","solv tough",-0.1228
"340","opportun team",-0.1223
"341","pakistan practic",-0.1222
"342","institut sexual",-0.1211
"343","iran intransig",-0.1199
"344","mose senior",-0.119
"345","complic natur",-0.1189
"346","nonprofit struggl",-0.1178
"347","planet water",-0.1178
"348","testimoni cap",-0.1171
"349","corp member",-0.117
"350","eastern congo",-0.1166
"351","malik special",-0.1162
"352","slowest growth",-0.116
"353","polici senior",-0.1158
"354","adapt impact",-0.1157
"355","fair principl",-0.1157
"356","analyst women",-0.1154
"357","beyond beltway",-0.1154
"358","fellow sam",-0.1146
"359","quarter expand",-0.114
"360","sinc bea",-0.114
"361","troubl borrow",-0.114
"362","accept unlimit",-0.1133
"363","s hersh",-0.1131
"364","half team",-0.1128
"365","women higher",-0.1127
"366","take harsh",-0.1119
"367","boushey jordan",-0.1115
"368","legal progress",-0.1101
"369","strategi resolv",-0.1101
"370","decadeslong commit",-0.11
"371","polic initi",-0.1097
"372","cunningham rca",-0.1089
"373","200 local",-0.1088
"374","invest young",-0.1087
"375","cultur elector",-0.1082
"376","fund partner",-0.1082
"377","record oil",-0.1063
"378","recess invest",-0.106
"379","insur attribut",-0.1056
"380","cathol choic",-0.1054
"381","teacher firefight",-0.105
"382","linden director",-0.1045
"383","state perpetr",-0.1042
"384","lgbtinclus nondiscrimin",-0.1039
"385","pdf public",-0.1039
"386","linden associ",-0.1034
"387","ineffici fossil",-0.1021
"388","ryan rwi",-0.1019
"389","cap action",-0.1013
"390","threat trump",-0.1013
"391","garcia research",-0.1004
"392","2007download snapshot",-0.1001
"393","moderateincom famili",-0.099
"394","add oil",-0.0988
"395","women abil",-0.0987
"396","elev voic",-0.0985
"397","muslim america",-0.0983
"398","africanamerican almost",-0.0974
"399","chen research",-0.0973
"400","colleg diploma",-0.0973
"401","vehicl chevrolet",-0.0971
"402","poor mental",-0.0969
"403","latino popul",-0.0968
"404","progress distinguish",-0.0965
"405","militari dont",-0.096
"406","peer support",-0.0954
"407","communiti economi",-0.0951
"408","includ exit",-0.095
"409","calcul action",-0.0934
"410","disabl poor",-0.0934
"411","barrel spr",-0.0929
"412","cleaner sourc",-0.0925
"413","enact paid",-0.0922
"414","seem translat",-0.0919
"415","decad import",-0.0916
"416","report structur",-0.0915
"417","pollut also",-0.0907
"418","deficit dilemma",-0.0905
"419","gustav ike",-0.0903
"420","humanitarian agenc",-0.0902
"421","sweep corrupt",-0.0901
"422","http wwwpbsorg",-0.0898
"423","whether face",-0.0897
"424","assist lgbt",-0.0895
"425","interior ryan",-0.0894
"426","progress infrastructur",-0.0893
"427","christian weller",-0.0891
"428","aca protect",-0.0889
"429","store fuel",-0.0887
"430","director russia",-0.0886
"431","pretend theyr",-0.0882
"432","see core",-0.0878
"433","100 nyc",-0.0874
"434","david balto",-0.087
"435","survey much",-0.0867
"436","progressth author",-0.0864
"437","approxim 36000",-0.0862
"438","j korb",-0.0852
"439","base cheap",-0.0851
"440","guidanc clarifi",-0.0847
"441","approv cabinet",-0.0846
"442","chip expir",-0.0846
"443","recess turn",-0.0845
"444","scale meet",-0.0844
"445","colin cookman",-0.0841
"446","inform seevideo",-0.0838
"447","rockefel dwv",-0.0837
"448","2 3some",-0.0833
"449","counter nation",-0.0832
"450","white teacher",-0.0829
"451","consum littl",-0.0828
"452","e weller",-0.0828
"453","charg women",-0.082
"454","mortgag import",-0.0819
"455","bergeron vice",-0.0818
"456","victim afraid",-0.0817
"457","known super",-0.0814
"458","american there",-0.0811
"459","econom mobilityth",-0.0811
"460","afghan institut",-0.0808
"461","month senior",-0.0808
"462","discern religi",-0.0805
"463","report lowest",-0.0803
"464","leav first",-0.0794
"465","11 2007the",-0.0792
"466","initi center",-0.0792
"467","reliabl state",-0.0792
"468","cut children",-0.0791
"469","oppos prop",-0.0787
"470","social innov",-0.0787
"471","cathol laiti",-0.0776
"472","kid love",-0.0775
"473","sustain live",-0.0775
"474","begin hold",-0.077
"475","water nation",-0.075
"476","jordan eizenga",-0.0746
"477","state confer",-0.0746
"478","treatment lowincom",-0.0746
"479","progressfind trump",-0.0743
"480","evangel climat",-0.074
"481","continu disproportion",-0.0738
"482","cap energi",-0.0732
"483","1492 said",-0.0731
"484","month outlin",-0.0728
"485","autonomi valu",-0.0722
"486","reproduct decis",-0.0717
"487","incent renew",-0.0716
"488","bp oil",-0.0715
"489","avoid foreclosur",-0.0714
"490","brought texa",-0.0714
"491","frye senior",-0.0713
"492","partnership iraq",-0.0712
"493","averag 315",-0.071
"494","lowcarbon power",-0.071
"495","signific barrier",-0.071
"496","take child",-0.071
"497","femal genit",-0.0705
"498","concert new",-0.0704
"499","light duti",-0.0704
"500","expand annual",-0.0702
"501","crise around",-0.0695
"502","declin faster",-0.069
"503","regular share",-0.069
"504","peopl signific",-0.0685
"505","water pipe",-0.0685
"506","unabl deduct",-0.0684
"507","right lgbt",-0.0681
"508","conserv target",-0.0679
"509","peopl employerprovid",-0.0678
"510","recess 20072009",-0.0671
"511","pool lower",-0.0667
"512","degrad treatment",-0.0664
"513","center american",-0.0659
"514","guantnamo detaine",-0.0657
"515","creation michael",-0.0653
"516","landfal puerto",-0.0653
"517","urg policymak",-0.0653
"518","govern impact",-0.0645
"519","that state",-0.0639
"520","read full",-0.0635
"521","pose unpreced",-0.0634
"522","nation step",-0.0633
"523","cleaner safer",-0.0632
"524","director postsecondari",-0.0632
"525","devast natur",-0.0628
"526","improv daili",-0.0628
"527","plan 12th",-0.0621
"528","leav birth",-0.0619
"529","effort conserv",-0.0618
"530","help communiti",-0.0611
"531","topic pleas",-0.0611
"532","165000 uninsur",-0.061
"533","fight reproduct",-0.0605
"534","us partnership",-0.0605
"535","give temporari",-0.0603
"536","effect arent",-0.0599
"537","devast communiti",-0.0598
"538","energi climat",-0.0597
"539","face disast",-0.0597
"540","resid health",-0.0594
"541","hutchinson rtx",-0.059
"542","care love",-0.0586
"543","qualifi judg",-0.0584
"544","fulli use",-0.0583
"545","famili reunit",-0.0579
"546","women experienc",-0.0579
"547","promot clean",-0.0571
"548","grassroot nation",-0.0567
"549","young evangel",-0.0567
"550","repres legal",-0.0566
"551","america corp",-0.0558
"552","reenter communiti",-0.0555
"553","struggl complet",-0.0554
"554","women insur",-0.0551
"555","announc guantnamo",-0.055
"556","guarante famili",-0.0546
"557","reduc global",-0.0545
"558","that larg",-0.0545
"559","ocean program",-0.0543
"560","intern donor",-0.0542
"561","safeti wage",-0.0541
"562","seen parent",-0.0541
"563","senior peopl",-0.0541
"564","preserv wellb",-0.0539
"565","labor deliveri",-0.0535
"566","either across",-0.0533
"567","famili econom",-0.053
"568","program ensur",-0.053
"569","antiabort group",-0.0529
"570","justic involv",-0.0528
"571","assist faith",-0.0526
"572","even women",-0.0523
"573","play leadership",-0.0514
"574","poverti includ",-0.0514
"575","extent differ",-0.0513
"576","unfccc meet",-0.0511
"577","everi yearth",-0.0507
"578","nonprolifer climat",-0.0504
"579","fiscal relief",-0.0501
"580","week near",-0.0501
"581","current contain",-0.05
"582","econom growthdont",-0.0499
"583","progress see",-0.0497
"584","sustain secur",-0.0495
"585","electr standard",-0.0494
"586","unit statess",-0.0484
"587","epa scientist",-0.0483
"588","america relat",-0.0477
"589","job local",-0.0477
"590","religion valu",-0.0476
"591","suffici flexibl",-0.0476
"592","uninsur underinsur",-0.0476
"593","famili undocu",-0.0475
"594","quarter 2007",-0.0475
"595","administr pour",-0.0471
"596","coastal communiti",-0.0471
"597","faith communiti",-0.047
"598","recoveri packag",-0.0469
"599","home legislativedataphp",-0.0466
"600","communiti prepar",-0.0465
"601","far review",-0.0463
"602","energi depth",-0.0462
"603","us greenhous",-0.0462
"604","back im",-0.0456
"605","close guantnamo",-0.0456
"606","full report",-0.0455
"607","view infrastructur",-0.0455
"608","arriv mexico",-0.0454
"609","weller testifi",-0.0454
"610","current weak",-0.0453
"611","poverti show",-0.0453
"612","report pdf",-0.0452
"613","attack motiv",-0.0449
"614","gap access",-0.0444
"615","drought wildfir",-0.0443
"616","lost 10",-0.0442
"617","health right",-0.0441
"618","women balanc",-0.0441
"619","appetit fossil",-0.0437
"620","start recess",-0.0437
"621","share unemploy",-0.0434
"622","grant seog",-0.0433
"623","compar last",-0.043
"624","formal analysi",-0.0428
"625","given sens",-0.0428
"626","acknowledg complex",-0.0426
"627","establish unifi",-0.0422
"628","latino asian",-0.0416
"629","asian latino",-0.0415
"630","children critic",-0.0406
"631","17 execut",-0.0405
"632","communiti busi",-0.0404
"633","steenland bestsel",-0.0404
"634","trend part",-0.0403
"635","immigr women",-0.0402
"636","toward ged",-0.0399
"637","refuge current",-0.0398
"638","program americorp",-0.0396
"639","program center",-0.0396
"640","student middl",-0.0393
"641","tax literaci",-0.0393
"642","unemploy level",-0.0393
"643","biggest carbon",-0.039
"644","capac still",-0.039
"645","wall littl",-0.039
"646","receiv unemploy",-0.0389
"647","borrow stay",-0.0387
"648","state median",-0.0385
"649","slow china",-0.0384
"650","injustic face",-0.0381
"651","show paper",-0.0381
"652","year comebut",-0.0379
"653","1973 author",-0.0378
"654","modif keep",-0.0378
"655","paulson want",-0.0378
"656","children bring",-0.0376
"657","miller research",-0.0373
"658","program adequ",-0.0373
"659","demand get",-0.0372
"660","bend constitut",-0.0368
"661","sit cash",-0.0366
"662","s 744",-0.035
"663","job least",-0.0347
"664","schooltoprison pipelin",-0.0347
"665","week decemb",-0.0347
"666","systemat block",-0.0345
"667","higher hour",-0.0343
"668","famili sustain",-0.0342
"669","allow catch",-0.034
"670","carolin wadham",-0.0338
"671","becom divers",-0.0335
"672","care chip",-0.0335
"673","full testimoni",-0.0334
"674","legitimaci creat",-0.0334
"675","separ famili",-0.0334
"676","longterm unemploy",-0.033
"677","climat secur",-0.0329
"678","student experi",-0.0329
"679","upon graduat",-0.0329
"680","includ equal",-0.0326
"681","ogden senior",-0.0325
"682","20 leader",-0.0322
"683","high often",-0.0322
"684","put sign",-0.0321
"685","premium men",-0.032
"686","progress steenland",-0.032
"687","account annuit",-0.0319
"688","coal extract",-0.0319
"689","support women",-0.0316
"690","drill bill",-0.0315
"691","bill invest",-0.0313
"692","un bid",-0.0313
"693","quarter 2007download",-0.0312
"694","public overwhelm",-0.0311
"695","2007 quarter",-0.031
"696","last access",-0.031
"697","read comic",-0.0309
"698","communiti mosqu",-0.0308
"699","world vulner",-0.0306
"700","especi vulner",-0.0305
"701","innov fund",-0.0303
"702","commerci scale",-0.0302
"703","sabotag trump",-0.0302
"704","billion 2050",-0.0301
"705","church endors",-0.0301
"706","2007 unemploy",-0.03
"707","obtain treatment",-0.0299
"708","cut billion",-0.0294
"709","burn special",-0.0293
"710","moodi economist",-0.0293
"711","five reason",-0.0291
"712","communiti lender",-0.029
"713","weekend meet",-0.029
"714","welcom contribut",-0.029
"715","shop beauti",-0.0289
"716","restrict behavior",-0.0288
"717","strengthen grow",-0.0286
"718","lowcarbon economi",-0.0284
"719","analyz report",-0.0283
"720","director immigr",-0.0282
"721","display govern",-0.0281
"722","famili counsel",-0.0276
"723","two committe",-0.0275
"724","announc sen",-0.0273
"725","import reproduct",-0.0273
"726","libya critic",-0.0273
"727","support hospit",-0.0273
"728","cathol bishop",-0.027
"729","manag natur",-0.027
"730","epa took",-0.0269
"731","servic deliveri",-0.0269
"732","communiti mind",-0.0267
"733","affect women",-0.0265
"734","browser scribd",-0.0265
"735","bureau began",-0.0265
"736","news policymak",-0.0264
"737","number middleclass",-0.0262
"738","agreement progress",-0.0261
"739","due gender",-0.026
"740","half women",-0.0259
"741","water shortag",-0.0258
"742","need lgbt",-0.0257
"743","troubl hous",-0.0257
"744","centerth author",-0.0256
"745","decreas likelihood",-0.0256
"746","ethnic major",-0.0256
"747","ive never",-0.0253
"748","unfair econom",-0.0253
"749","chang contribut",-0.0252
"750","latino children",-0.0252
"751","collect 52",-0.0251
"752","cut educ",-0.0251
"753","includ support",-0.0248
"754","juul polici",-0.0248
"755","support lowincom",-0.0246
"756","communiti resid",-0.0243
"757","margetta morgan",-0.0243
"758","receiv highqual",-0.0241
"759","various neighborhood",-0.024
"760","caus burn",-0.0236
"761","reform center",-0.0236
"762","colleg ensur",-0.0235
"763","definit think",-0.0235
"764","bipartisan iraq",-0.0233
"765","fast began",-0.0233
"766","polici center",-0.0233
"767","pay upfront",-0.0232
"768","doubt favor",-0.0231
"769","henri fernandez",-0.0231
"770","miner leas",-0.0231
"771","player direct",-0.0231
"772","publish august",-0.0231
"773","women day",-0.0231
"774","leader design",-0.023
"775","taken children",-0.023
"776","racial ethnic",-0.0228
"777","estim fail",-0.0227
"778","disproportion affect",-0.0225
"779","rudi deleon",-0.0224
"780","sharehold doesnt",-0.0224
"781","6035 negat",-0.0223
"782","trump nomine",-0.0223
"783","higher oil",-0.0222
"784","support sen",-0.0221
"785","farmer rural",-0.022
"786","close wage",-0.0219
"787","qaeda central",-0.0219
"788","maintain spend",-0.0218
"789","continu second",-0.0217
"790","juli report",-0.0215
"791","person wit",-0.0214
"792","bolster countri",-0.0213
"793","partner follow",-0.0212
"794","proven program",-0.0211
"795","august alon",-0.021
"796","chang 2020",-0.021
"797","cloth medic",-0.021
"798","h fuch",-0.0208
"799","progress work",-0.0208
"800","sustain employ",-0.0207
"801","w caperton",-0.0206
"802","didnt realiz",-0.0205
"803","economi shed",-0.0205
"804","arena pleas",-0.0204
"805","generat gap",-0.0204
"806","2013 avail",-0.0202
"807","one assist",-0.0201
"808","jesus also",-0.02
"809","sustain solut",-0.02
"810","senat began",-0.0198
"811","across countryth",-0.0197
"812","central al",-0.0195
"813","climat caus",-0.0195
"814","process hold",-0.0195
"815","reinvest save",-0.0195
"816","africa bric",-0.0194
"817","convers begun",-0.0194
"818","fellow center",-0.0192
"819","premium alon",-0.0192
"820","independ ethic",-0.0191
"821","go unreport",-0.019
"822","restor rule",-0.019
"823","qaeda network",-0.0189
"824","moral issu",-0.0188
"825","percent second",-0.0188
"826","progressmor cap",-0.0188
"827","job seeker",-0.0187
"828","barbar phenomenon",-0.0186
"829","lender can",-0.0184
"830","rev jim",-0.0183
"831","share futur",-0.0183
"832","erickson associ",-0.0182
"833","although unemploy",-0.0181
"834","commerci construct",-0.0181
"835","global agreement",-0.0181
"836","innov strategi",-0.0181
"837","need reauthor",-0.0181
"838","gay bisexu",-0.018
"839","women among",-0.0179
"840","plugin hybrid",-0.0178
"841","alsham isi",-0.0176
"842","testimoni recent",-0.0175
"843","potenti overwhelm",-0.0171
"844","analysi kerrylieberman",-0.0163
"845","enorm incom",-0.0162
"846","cut pell",-0.016
"847","progress polici",-0.016
"848","stem direct",-0.016
"849","ken soferwhat",-0.0159
"850","root iraq",-0.0159
"851","target hous",-0.0159
"852","well wyom",-0.0159
"853","extend portion",-0.0158
"854","30000 borrow",-0.0157
"855","mobil three",-0.0155
"856","communiti color",-0.0154
"857","spr still",-0.0154
"858","trade food",-0.0154
"859","agenc iran",-0.0151
"860","great tradit",-0.0151
"861","earn latina",-0.015
"862","policymak advoc",-0.015
"863","percent asian",-0.0149
"864","accord today",-0.0148
"865","respons drawdown",-0.0148
"866","statement al",-0.0148
"867","lowincom women",-0.0147
"868","famili face",-0.0145
"869","despit trump",-0.0143
"870","whether secretari",-0.0143
"871","pension drop",-0.0142
"872","search common",-0.0142
"873","base prior",-0.0141
"874","prevent servic",-0.0139
"875","togeth medicaid",-0.0139
"876","tri inject",-0.0139
"877","fact lie",-0.0138
"878","palestinian economi",-0.0138
"879","team manag",-0.0138
"880","color make",-0.0137
"881","communic project",-0.0136
"882","home sale",-0.0135
"883","secretari zink",-0.0135
"884","remain caus",-0.0134
"885","key considerationsvouch",-0.0133
"886","other reluct",-0.0133
"887","strategi prevent",-0.0133
"888","program strengthen",-0.0132
"889","recoveri reinvest",-0.013
"890","color white",-0.0129
"891","beltway help",-0.0128
"892","mcconnel rki",-0.0128
"893","pace job",-0.0128
"894","campaign end",-0.0127
"895","lack paid",-0.0127
"896","white counterpart",-0.0127
"897","confer cathol",-0.0125
"898","near 800000",-0.0125
"899","potenti indic",-0.0125
"900","murder alarm",-0.0124
"901","center transgend",-0.0123
"902","column origin",-0.0123
"903","instal clean",-0.0122
"904","percent latino",-0.0122
"905","forgo treatment",-0.0121
"906","sign order",-0.012
"907","state oklahoma",-0.0119
"908","kuiper belt",-0.0118
"909","march 2001",-0.0118
"910","presid karzai",-0.0118
"911","transgend equal",-0.0118
"912","accord nonpartisan",-0.0117
"913","discuss anxious",-0.0117
"914","gender divers",-0.0117
"915","month apart",-0.0116
"916","conserv effort",-0.0114
"917","lalo en",-0.0114
"918","unabl find",-0.0114
"919","great lake",-0.0113
"920","intern polici",-0.011
"921","plan divert",-0.011
"922","health screen",-0.0109
"923","children health",-0.0108
"924","economi back",-0.0107
"925","pivot power",-0.0107
"926","insur drop",-0.0106
"927","iran behavior",-0.0106
"928","shutdown like",-0.0106
"929","new ryan",-0.0105
"930","polefka polici",-0.0105
"931","rang tool",-0.0105
"932","statement crocker",-0.0105
"933","lifetim limit",-0.0104
"934","social support",-0.0104
"935","warm pollut",-0.0104
"936","accord mcclatchi",-0.0103
"937","caus today",-0.0103
"938","chang effect",-0.0102
"939","poverti unemploy",-0.0102
"940","quarter 2009",-0.0102
"941","children crosshair",-0.0101
"942","counti serv",-0.0101
"943","difficult offer",-0.0101
"944","kaiser foundat",-0.0101
"945","updat reflect",-0.01
"946","vital servic",-0.01
"947","arent go",-0.0099
"948","publish onmarketwatchth",-0.0099
"949","militia send",-0.0098
"950","civic engag",-0.0096
"951","declin activ",-0.0096
"952","threat multipli",-0.0095
"953","help deal",-0.0094
"954","afraid report",-0.0092
"955","reproduct health",-0.0092
"956","use indiscrimin",-0.0092
"957","reproduct right",-0.0091
"958","lack afford",-0.009
"959","rep ryan",-0.009
"960","broader region",-0.0089
"961","critic ensur",-0.0088
"962","disenfranchis african",-0.0088
"963","failur extend",-0.0088
"964","ryan zink",-0.0088
"965","without fund",-0.0088
